,0
23286.0,717
23288.0,718
23291.0,719
23293.0,720
23299.0,721
23304.0,722
23305.0,723
23307.0,724
23310.0,725
23311.0,726
23314.0,727
23317.0,728
23333.0,729
23334.0,730
23335.0,731
23349.0,732
23352.0,733
23354.0,734
23355.0,735
23358.0,736
23369.0,737
23370.0,738
23371.0,739
23377.0,740
23412.0,741
23415.0,742
23425.0,743
23426.0,744
23431.0,745
23435.0,746
23438.0,747
23445.0,748
23446.0,749
23453.0,750
23464.0,751
23499.0,752
23507.0,753
23512.0,754
23528.0,755
23538.0,756
23563.0,757
23571.0,758
23574.0,759
23575.0,760
23579.0,761
23587.0,762
23593.0,763
23605.0,764
23628.0,765
23629.0,766
23660.0,767
23675.0,768
23678.0,769
23686.0,770
23688.0,771
23692.0,772
23697.0,773
23720.0,774
23724.0,775
23727.0,776
23728.0,777
23729.0,778
23732.0,779
23736.0,780
23740.0,781
23755.0,782
23760.0,783
23765.0,784
23772.0,785
23779.0,786
23780.0,787
23781.0,788
23782.0,789
23783.0,790
23784.0,791
23785.0,792
23787.0,793
23788.0,794
23792.0,795
23793.0,796
23794.0,797
23806.0,798
23813.0,799
23818.0,800
23819.0,801
23823.0,802
23837.0,803
23839.0,804
23849.0,805
23853.0,806
23864.0,807
23866.0,808
23869.0,809
23881.0,810
23882.0,811
23889.0,812
23891.0,813
23913.0,814
23916.0,815
23918.0,816
23921.0,817
23922.0,818
23927.0,819
23930.0,820
23931.0,821
23932.0,822
23933.0,823
23934.0,824
23936.0,825
23937.0,826
23939.0,827
23946.0,828
23947.0,829
23949.0,830
23950.0,831
23951.0,832
23953.0,833
23954.0,834
23979.0,835
23983.0,836
23984.0,837
23986.0,838
23987.0,839
23988.0,840
23991.0,841
23997.0,842
23998.0,843
23999.0,844
24000.0,845
24001.0,846
24002.0,847
24003.0,848
24004.0,849
24005.0,850
24006.0,851
24011.0,852
24013.0,853
24020.0,854
24022.0,855
24023.0,856
24024.0,857
24037.0,858
24040.0,859
24064.0,860
24077.0,861
24099.0,862
24101.0,863
24104.0,864
24105.0,865
24111.0,866
24114.0,867
24116.0,868
24118.0,869
24122.0,870
24123.0,871
24130.0,872
24131.0,873
24132.0,874
24133.0,875
24134.0,876
24136.0,877
24137.0,878
24138.0,879
24147.0,880
24148.0,881
24149.0,882
24150.0,883
24154.0,884
24155.0,885
24156.0,886
24157.0,887
24159.0,888
24160.0,889
24161.0,890
24162.0,891
24163.0,892
24166.0,893
24167.0,894
24168.0,895
24169.0,896
24171.0,897
24183.0,898
24190.0,899
24205.0,900
24208.0,901
24209.0,902
24210.0,903
24211.0,904
24212.0,905
24213.0,906
24216.0,907
24217.0,908
24223.0,909
24224.0,910
24225.0,911
24226.0,912
24227.0,913
24228.0,914
24229.0,915
24230.0,916
24234.0,917
24235.0,918
24255.0,919
24260.0,920
24275.0,921
24336.0,922
24341.0,923
24364.0,924
24368.0,925
24372.0,926
24373.0,927
24374.0,928
24381.0,929
24383.0,930
24385.0,931
24391.0,932
24393.0,933
24399.0,934
24403.0,935
24405.0,936
24408.0,937
24409.0,938
24410.0,939
24411.0,940
24412.0,941
24414.0,942
24415.0,943
24422.0,944
24423.0,945
24435.0,946
24436.0,947
24439.0,948
24440.0,949
24443.0,950
24446.0,951
24448.0,952
24449.0,953
24450.0,954
24452.0,955
24453.0,956
24454.0,957
24455.0,958
24456.0,959
24457.0,960
24459.0,961
24464.0,962
24469.0,963
24475.0,964
24484.0,965
24491.0,966
24492.0,967
24493.0,968
24494.0,969
24499.0,970
24500.0,971
24501.0,972
24502.0,973
24503.0,974
24504.0,975
24506.0,976
24507.0,977
24509.0,978
24516.0,979
24527.0,980
24528.0,981
24531.0,982
24536.0,983
24546.0,984
24549.0,985
24575.0,986
24579.0,987
24583.0,988
24590.0,989
24591.0,990
24612.0,991
24621.0,992
24622.0,993
24624.0,994
24625.0,995
24630.0,996
24632.0,997
24634.0,998
24635.0,999
24653.0,1000
24655.0,1001
24656.0,1002
24658.0,1003
24661.0,1004
24663.0,1005
24664.0,1006
24676.0,1007
24693.0,1008
24694.0,1009
24698.0,1010
24701.0,1011
24705.0,1012
24728.0,1013
24737.0,1014
24740.0,1015
24741.0,1016
24742.0,1017
24744.0,1018
24747.0,1019
24751.0,1020
24753.0,1021
24754.0,1022
24772.0,1023
24773.0,1024
24780.0,1025
24781.0,1026
24788.0,1027
24789.0,1028
24791.0,1029
24792.0,1030
24793.0,1031
24800.0,1032
24807.0,1033
24813.0,1034
24839.0,1035
24841.0,1036
24843.0,1037
24845.0,1038
24846.0,1039
24848.0,1040
24852.0,1041
24854.0,1042
24886.0,1043
24890.0,1044
24899.0,1045
24903.0,1046
24915.0,1047
24932.0,1048
24948.0,1049
24952.0,1050
24970.0,1051
24978.0,1052
24983.0,1053
24984.0,1054
24985.0,1055
25005.0,1056
25015.0,1057
25018.0,1058
25070.0,1059
25075.0,1060
25108.0,1061
25128.0,1062
25131.0,1063
25150.0,1064
25156.0,1065
25160.0,1066
25166.0,1067
25199.0,1068
25253.0,1069
25255.0,1070
25259.0,1071
25329.0,1072
