u,v,e_type,ts,u_type,v_type,e_idx
84,2977,2,1673752619,1,3,334
84,8955,1,1673755545,1,2,335
421,8955,0,1673755545,1,2,336
178,270,2,1673757638,1,3,337
123,2463,2,1673757638,1,3,338
123,1452,2,1673757638,1,3,339
123,3020,2,1673757638,1,3,340
123,898,2,1673757638,1,3,341
123,1384,2,1673757638,1,3,342
178,1928,2,1673757638,1,3,343
178,2808,2,1673757638,1,3,344
178,725,2,1673757638,1,3,345
178,2041,2,1673757638,1,3,346
123,8944,1,1673758896,1,2,347
178,8944,0,1673758896,1,2,348
194,2981,2,1673766989,1,3,349
194,560,2,1673766989,1,3,350
282,1633,2,1673766989,1,3,351
194,476,2,1673766989,1,3,352
194,1572,2,1673766989,1,3,353
282,2409,2,1673766989,1,3,354
282,2590,2,1673766989,1,3,355
194,2870,2,1673766989,1,3,356
282,920,2,1673766989,1,3,357
282,2175,2,1673766989,1,3,358
282,4064,0,1673769017,1,2,359
194,4064,1,1673769017,1,2,360
282,2175,2,1673770185,1,3,361
282,2409,2,1673770185,1,3,362
282,2590,2,1673770185,1,3,363
282,920,2,1673770185,1,3,364
194,1572,2,1673770185,1,3,365
194,476,2,1673770185,1,3,366
194,2981,2,1673770185,1,3,367
282,1633,2,1673770185,1,3,368
194,560,2,1673770185,1,3,369
194,2870,2,1673770185,1,3,370
282,4065,1,1673772612,1,2,371
194,4065,0,1673772612,1,2,372
282,920,2,1673773859,1,3,373
282,2590,2,1673773859,1,3,374
282,2409,2,1673773859,1,3,375
282,1633,2,1673773859,1,3,376
282,2175,2,1673773859,1,3,377
194,2870,2,1673773859,1,3,378
194,560,2,1673773859,1,3,379
194,2981,2,1673773859,1,3,380
194,476,2,1673773859,1,3,381
194,1572,2,1673773859,1,3,382
282,4066,1,1673775635,1,2,383
194,4066,0,1673775635,1,2,384
473,2414,2,1673778566,1,3,385
251,171,2,1673778566,1,3,386
251,2171,2,1673778566,1,3,387
251,723,2,1673778566,1,3,388
251,1652,2,1673778566,1,3,389
251,695,2,1673778566,1,3,390
473,1394,2,1673778566,1,3,391
473,769,2,1673778566,1,3,392
473,1368,2,1673778566,1,3,393
473,602,2,1673778566,1,3,394
251,4067,1,1673780324,1,2,395
473,4067,0,1673780324,1,2,396
149,348,2,1673781501,1,3,397
295,1882,2,1673781501,1,3,398
295,1950,2,1673781501,1,3,399
295,1809,2,1673781501,1,3,400
295,261,2,1673781501,1,3,401
149,493,2,1673781501,1,3,402
149,1681,2,1673781501,1,3,403
149,2891,2,1673781501,1,3,404
149,2769,2,1673781501,1,3,405
295,775,2,1673781501,1,3,406
473,1368,2,1673781515,1,3,407
251,1652,2,1673781515,1,3,408
251,2171,2,1673781515,1,3,409
473,1394,2,1673781515,1,3,410
251,723,2,1673781515,1,3,411
251,171,2,1673781515,1,3,412
473,769,2,1673781515,1,3,413
473,602,2,1673781515,1,3,414
473,2414,2,1673781515,1,3,415
251,695,2,1673781515,1,3,416
295,4069,0,1673783374,1,2,417
149,4069,1,1673783374,1,2,418
473,4068,0,1673783396,1,2,419
251,4068,1,1673783396,1,2,420
149,348,2,1673784577,1,3,421
149,2769,2,1673784577,1,3,422
149,2891,2,1673784577,1,3,423
149,1681,2,1673784577,1,3,424
149,493,2,1673784577,1,3,425
295,261,2,1673784577,1,3,426
295,1809,2,1673784577,1,3,427
295,1950,2,1673784577,1,3,428
295,1882,2,1673784577,1,3,429
295,775,2,1673784577,1,3,430
295,4070,0,1673786377,1,2,431
149,4070,1,1673786377,1,2,432
463,3048,2,1673820330,1,3,433
463,1381,2,1673820330,1,3,434
463,1339,2,1673820330,1,3,435
30,1121,2,1673820330,1,3,436
463,210,2,1673820330,1,3,437
30,498,2,1673820330,1,3,438
30,952,2,1673820330,1,3,439
30,161,2,1673820330,1,3,440
30,2370,2,1673820330,1,3,441
463,206,2,1673820330,1,3,442
30,8968,1,1673821778,1,2,443
463,8968,0,1673821778,1,2,444
30,952,2,1673823608,1,3,445
30,2370,2,1673823608,1,3,446
30,161,2,1673823608,1,3,447
30,498,2,1673823608,1,3,448
30,1121,2,1673823608,1,3,449
463,206,2,1673823608,1,3,450
463,3048,2,1673823608,1,3,451
463,1339,2,1673823608,1,3,452
463,1381,2,1673823608,1,3,453
463,210,2,1673823608,1,3,454
366,2020,2,1673823858,1,3,455
366,864,2,1673823858,1,3,456
366,905,2,1673823858,1,3,457
366,1663,2,1673823858,1,3,458
366,237,2,1673823858,1,3,459
283,449,2,1673823858,1,3,460
283,618,2,1673823858,1,3,461
283,376,2,1673823858,1,3,462
283,1771,2,1673823858,1,3,463
283,1755,2,1673823858,1,3,464
463,8945,0,1673824933,1,2,465
30,8945,1,1673824933,1,2,466
283,8956,1,1673825462,1,2,467
366,8956,0,1673825462,1,2,468
253,2399,2,1673826710,1,3,469
253,484,2,1673826710,1,3,470
253,1,2,1673826710,1,3,471
253,1808,2,1673826710,1,3,472
216,345,2,1673826710,1,3,473
216,1879,2,1673826710,1,3,474
216,1530,2,1673826710,1,3,475
216,2390,2,1673826710,1,3,476
216,2077,2,1673826710,1,3,477
253,1625,2,1673826710,1,3,478
111,1029,2,1673827266,1,3,479
59,1223,2,1673827266,1,3,480
59,2223,2,1673827266,1,3,481
59,157,2,1673827266,1,3,482
59,2468,2,1673827266,1,3,483
59,759,2,1673827266,1,3,484
